id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,player_fifa_api_id,player_api_id,overall_rating,potential,player_name,birthday
97455,-0.02005847524333634,0.6836920690967109,-0.2552704845547613,-0.32941632509001106,-0.5948685634497816,0.12463548625118474,-0.209663761824256,0.3041666425229537,-0.08222832963439088,0.007843556027940658,0.20357581091654545,0.04701870696074712,-0.09147911363180564,0.273118163999898,119152,30831,78.0,78.0,Kolo Toure,1981-03-19 00:00:00
42881,0.06850274181916446,0.1885635074987788,-0.2284244911953115,-0.5421229758461267,-0.3048284900451988,0.015171510058856625,0.001972280991730926,-0.15103056588147895,-0.11312662634214693,-0.12555228988347314,0.23549051940596705,-0.18853486569229055,0.2582801699877329,-0.1957025694096764,199284,133126,63.0,63.0,Dennis Hediger,1986-09-22 00:00:00
97483,2.23617718596905,-0.31725627282684643,1.209208946468723,0.5597092399453222,0.4886863318472634,0.023747986353113284,-0.03429388434452536,-0.23957060935779334,-0.1117530226352785,0.06146561509169704,0.15417563385586666,-0.2454684279990355,0.05403748824432448,0.010628997641720305,201169,206641,58.0,63.0,Konrad Forenc,1992-07-17 00:00:00
97505,-0.5539017242191437,0.10827878593396507,-0.7006306625888331,1.2681733804086228,0.13773128094933582,-0.2595126217574626,0.32737201209057354,-0.14558145981002127,-0.1803269021864204,0.14219210219189346,0.0708785524341886,-0.004283737802842118,-0.02859805879414218,-0.06858595866013599,183559,11242,67.0,67.0,Konstantin Engel,1988-07-27 00:00:00
42402,0.2352355991765493,-0.26001127179736205,1.173911652021956,-0.5337514773355622,0.4753343480889882,-0.042503281966988125,-0.011437303828964806,-0.5377343301201981,0.061248439800872724,0.059260270924281634,-0.2648872119351856,0.0653907250218251,-0.18824860457922526,0.08338540524062138,225951,664962,64.0,75.0,Denis Bouanga,1994-11-11 00:00:00
98070,0.26588651089285725,-0.34439530395555784,-0.1598142676594891,-0.7978089938183409,0.048140579831729084,-0.08504978011603412,-0.016564974273576356,-0.3488164522841492,0.16510596734716707,0.3542987859896881,-0.07811642888259758,0.1841538136449104,-0.08524786802694376,-0.057975719610352465,204448,466880,63.0,71.0,Krisztian Adorjan,1993-01-19 00:00:00
42292,0.07933293407910298,-0.06374801291102515,1.1195411704060207,-0.5010982558451608,0.3751734139105682,0.05924719813023047,-0.2388409721486904,-0.4736473409332485,-0.07428221644917822,-0.049738963951586834,-0.03530767149439346,-0.11209634316768592,-0.07768061189808713,-0.14045302615051855,179886,27573,65.0,65.0,Deme N'Diaye,1985-02-06 00:00:00
140690,-0.3909251203991765,-0.4372536088522637,-0.17927631549647205,0.5858408230517335,-0.8192153024522704,-0.08400086127270995,0.645249703994698,0.050839208085284346,-0.0944788099131892,-0.043317085280732234,-0.2215415855760945,0.049777622869108376,0.11611045386367964,0.1065031957846721,211014,362665,70.0,75.0,Paulinho,1991-07-13 00:00:00
140855,0.3317843989612765,0.5556962502503224,1.1260235975166872,0.002451777079947798,-0.06570226384003687,0.14089687287189684,0.3082228607019787,-0.3129477836007948,-0.15340250766209526,-0.010151749261623641,-0.08686900793355214,-0.06510613195911462,0.0645751811291152,0.2006963983606293,229498,522771,62.0,68.0,Paulo Henrique,1996-10-23 00:00:00
97973,0.3328316135062749,-0.08321354844983676,-0.2182852573624008,-0.5957556150589346,-0.09912144054702368,0.09984476984523008,-0.2818107979163001,-0.249336687490802,-0.039537430197907,0.15104420156270867,0.1637720452374975,0.2316442724589581,0.11323174534075735,-0.10771398590143212,204486,181294,64.0,71.0,Kristjan Gauti Emilsson,1993-04-26 00:00:00
96840,2.2102537822652617,-0.3559212146970185,1.2174801185596913,0.5611126928269944,0.5008504050025474,-0.2702066835258617,-0.1975305617980312,0.3260961203398512,0.05985920924684005,-0.13249092835388868,0.027136477594016054,-0.0560174717693916,0.08398723536779577,0.11927556917183997,172939,24064,75.0,75.0,Kieren Westwood,1984-10-23 00:00:00
164563,0.3658652638464437,0.20287291961543846,-0.15886920721656536,-0.3768175425701888,-0.3683204345188324,-0.14776102683205175,0.6442910623279666,-0.1732427436564962,0.05986892863880456,0.0008281161167613279,0.1785377660137782,0.21817259827737773,-0.06368872301056606,0.11312676952383773,227828,620765,59.0,71.0,Sousa,1996-05-15 00:00:00
164628,0.19431722472410207,0.7208036349684187,-0.799518399228145,1.2286133275872355,0.24114391163739166,0.5694919226864897,-0.4388960717379821,-0.5071146847281155,0.7489845865815821,0.2707780737017635,-0.20053006219781136,-0.17906773642335688,0.008831200500268952,-0.045991964560334136,183430,115190,66.0,66.0,Sreten Sretenovic,1985-01-12 00:00:00
